target_tissue,expression_tissue,review_status,mapping_type,suggestion_available_in_hpa,review_note,reviewer,review_date
blood,,pending_review,unresolved,False,HPA consensus has no single whole-blood tissue; do not substitute blood vessel or bone marrow.,,
bone,,pending_review,unresolved,False,Bone marrow is not automatically equivalent to bone.,,
brain,,pending_review,unresolved,False,HPA contains multiple brain regions; an aggregation rule needs biological review.,,
breast,breast,pending_review,exact,True,Exact name match.,,
colon,colon,pending_review,exact,True,Exact name match.,,
kidney,kidney,pending_review,exact,True,Exact name match.,,
lung,lung,pending_review,exact,True,Exact name match.,,
lymph node,lymph node,pending_review,exact,True,Exact name match.,,
lymphoid,,pending_review,unresolved,False,"Lymphoid is a broad category, not one HPA tissue.",,
ovary,ovary,pending_review,exact,True,Exact name match.,,
spleen,spleen,pending_review,exact,True,Exact name match.,,
thymus,thymus,pending_review,exact,True,Exact name match.,,
umbilical cord blood,,pending_review,unresolved,False,Not represented in HPA consensus tissue RNA.,,
uterine cervix,cervix,pending_review,synonym_candidate,True,"Likely anatomical synonym, but still requires human review.",,
